epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,459.967,1.79795,2.69754,1.9646,0.35416,0.3063,0.24797,0.08853,2.23281,2.41831,2.27037,0.000555207,0.000555207,0.000555207
2,818.987,1.84308,2.41172,2.01204,0.37425,0.35944,0.28255,0.10487,2.02968,2.23056,2.16126,0.00110979,0.00110979,0.00110979
3,1175.86,1.82547,2.34598,1.99193,0.42515,0.34916,0.30645,0.11782,2.09203,2.34858,2.21884,0.00166004,0.00166004,0.00166004
4,1551.35,1.77884,2.29037,1.95974,0.48241,0.42427,0.39774,0.15372,1.98714,2.0588,2.11552,0.00165238,0.00165238,0.00165238
5,1904.49,1.73924,2.21267,1.93286,0.52318,0.44311,0.43875,0.18099,1.92674,1.92804,2.01839,0.00164108,0.00164108,0.00164108
6,2259.93,1.72272,2.16597,1.9159,0.54279,0.41877,0.42842,0.18107,1.87032,1.978,2.01784,0.00162661,0.00162661,0.00162661
7,2615.67,1.70753,2.13833,1.90495,0.57967,0.48398,0.4843,0.21001,1.83853,1.79196,1.97161,0.00160905,0.00160905,0.00160905
8,2971.75,1.6712,2.09121,1.88388,0.58283,0.49242,0.52315,0.22871,1.80726,1.7623,1.96261,0.00158847,0.00158847,0.00158847
9,3327.21,1.66148,2.05971,1.87086,0.62254,0.48921,0.52259,0.2326,1.82932,1.69504,1.94751,0.00156493,0.00156493,0.00156493
10,3682.83,1.65728,2.03636,1.86351,0.62006,0.49595,0.52684,0.24245,1.80706,1.69727,1.95029,0.00153854,0.00153854,0.00153854
11,4037.89,1.64091,2.02546,1.85764,0.60026,0.51967,0.53563,0.24436,1.78363,1.65169,1.92459,0.00150941,0.00150941,0.00150941
12,4394.46,1.62338,1.96975,1.82962,0.59886,0.50205,0.54081,0.24529,1.76861,1.70188,1.89521,0.00147764,0.00147764,0.00147764
13,4749.68,1.60786,1.95565,1.82074,0.65272,0.52712,0.57504,0.26263,1.76884,1.60038,1.90822,0.00144335,0.00144335,0.00144335
14,5107.89,1.6087,1.94894,1.82397,0.64986,0.5226,0.57414,0.26409,1.74622,1.60964,1.889,0.0014067,0.0014067,0.0014067
15,5462.66,1.60181,1.90563,1.81486,0.71125,0.52445,0.60695,0.29113,1.71832,1.52912,1.86359,0.00136781,0.00136781,0.00136781
16,5818.68,1.58869,1.89496,1.80481,0.64726,0.54083,0.58821,0.2714,1.7408,1.58376,1.87767,0.00132685,0.00132685,0.00132685
17,6173.68,1.58404,1.88717,1.80117,0.68078,0.54125,0.60757,0.29585,1.68711,1.51775,1.83552,0.00128398,0.00128398,0.00128398
18,6530.54,1.58375,1.86463,1.8006,0.70626,0.54452,0.61786,0.30385,1.66742,1.49674,1.83323,0.00123936,0.00123936,0.00123936
19,6887.5,1.57356,1.85397,1.79145,0.69167,0.55165,0.61961,0.30111,1.67791,1.47681,1.8333,0.00119317,0.00119317,0.00119317
20,7245.04,1.56263,1.84248,1.78783,0.72042,0.53841,0.62105,0.30199,1.69036,1.45352,1.844,0.0011456,0.0011456,0.0011456
21,7602.97,1.55077,1.80718,1.77355,0.71653,0.54831,0.62174,0.30591,1.6814,1.44263,1.84435,0.00109683,0.00109683,0.00109683
22,7961.73,1.55176,1.80475,1.77683,0.7018,0.55156,0.61882,0.31026,1.65175,1.43555,1.81066,0.00104705,0.00104705,0.00104705
23,8317.72,1.53232,1.77408,1.75793,0.71455,0.566,0.64412,0.32095,1.64442,1.40948,1.79737,0.000996456,0.000996456,0.000996456
24,8675.18,1.53418,1.78342,1.76117,0.72715,0.56912,0.65176,0.32287,1.62916,1.4035,1.78955,0.000945256,0.000945256,0.000945256
25,9030.88,1.51892,1.74811,1.75058,0.71032,0.58238,0.65073,0.32668,1.64723,1.37631,1.80952,0.000893648,0.000893648,0.000893648
26,9386.86,1.51458,1.73493,1.74178,0.72186,0.57847,0.65999,0.33428,1.62786,1.37443,1.78622,0.000841835,0.000841835,0.000841835
27,9743.42,1.49902,1.71362,1.73113,0.7447,0.57503,0.67016,0.34334,1.6152,1.34542,1.76464,0.000790022,0.000790022,0.000790022
28,10098.7,1.48811,1.69177,1.72435,0.74197,0.57726,0.66586,0.34432,1.60635,1.3424,1.76275,0.000738414,0.000738414,0.000738414
29,10454.7,1.49373,1.69585,1.72073,0.76014,0.59045,0.6798,0.35152,1.599,1.31453,1.75219,0.000687214,0.000687214,0.000687214
30,10812.3,1.47898,1.6875,1.71556,0.75752,0.57977,0.68068,0.3518,1.58811,1.30401,1.74851,0.000636625,0.000636625,0.000636625
31,11171.7,1.47997,1.67123,1.71746,0.75188,0.57377,0.67196,0.34963,1.60392,1.31143,1.75911,0.000586845,0.000586845,0.000586845
32,11531.6,1.47638,1.6629,1.70952,0.7591,0.59167,0.68378,0.36022,1.58445,1.28606,1.7434,0.000538072,0.000538072,0.000538072
33,11889.6,1.46056,1.63466,1.69353,0.77687,0.5908,0.68789,0.36535,1.5832,1.26537,1.73885,0.000490497,0.000490497,0.000490497
34,12248.9,1.45838,1.61741,1.6864,0.77479,0.59304,0.69361,0.36357,1.58451,1.26083,1.73654,0.000444309,0.000444309,0.000444309
35,12607.6,1.43838,1.5959,1.67631,0.76309,0.60134,0.69321,0.36672,1.5789,1.25501,1.72689,0.000399689,0.000399689,0.000399689
36,12965,1.43483,1.58912,1.67483,0.76768,0.59704,0.69212,0.36821,1.56694,1.25223,1.73097,0.000356815,0.000356815,0.000356815
37,13322.6,1.42889,1.57289,1.66723,0.76375,0.60781,0.69751,0.37164,1.57459,1.23374,1.73436,0.000315855,0.000315855,0.000315855
38,13680.5,1.42587,1.5622,1.6664,0.76297,0.61121,0.70304,0.37321,1.56607,1.22862,1.72625,0.000276971,0.000276971,0.000276971
39,14038.3,1.43132,1.56016,1.67103,0.77282,0.60366,0.70459,0.37531,1.56511,1.23059,1.7231,0.000240316,0.000240316,0.000240316
40,14399.9,1.41541,1.53526,1.65679,0.76459,0.61618,0.70474,0.37594,1.56257,1.22638,1.72029,0.000206034,0.000206034,0.000206034
41,14730.8,1.4622,1.35182,1.72003,0.78815,0.59693,0.70532,0.37423,1.56198,1.21835,1.72134,0.000174262,0.000174262,0.000174262
42,15061.9,1.43746,1.31126,1.70626,0.78841,0.60009,0.70907,0.37686,1.56189,1.20553,1.72725,0.000145125,0.000145125,0.000145125
43,15395.8,1.42318,1.28744,1.69349,0.79766,0.60786,0.71235,0.38192,1.55455,1.19763,1.71811,0.000118737,0.000118737,0.000118737
44,15726.5,1.41038,1.26844,1.6811,0.80087,0.6042,0.71226,0.38148,1.55435,1.19554,1.71952,9.52034e-05,9.52034e-05,9.52034e-05
45,16056.1,1.41264,1.26505,1.68232,0.78703,0.61352,0.7132,0.38214,1.55648,1.18768,1.72031,7.4616e-05,7.4616e-05,7.4616e-05
46,16384.6,1.4046,1.2474,1.67869,0.78707,0.60847,0.71139,0.38318,1.55183,1.18587,1.71719,5.70564e-05,5.70564e-05,5.70564e-05
47,16714,1.39477,1.24496,1.67149,0.79284,0.60399,0.7124,0.3844,1.54859,1.18551,1.7172,4.25941e-05,4.25941e-05,4.25941e-05
48,17042.7,1.39461,1.24158,1.67125,0.79562,0.60833,0.71299,0.38448,1.54858,1.18283,1.71632,3.12859e-05,3.12859e-05,3.12859e-05
49,17371.9,1.39452,1.23436,1.67084,0.79318,0.6087,0.71486,0.38461,1.54996,1.17954,1.7177,2.31767e-05,2.31767e-05,2.31767e-05
50,17701.6,1.39416,1.23203,1.66994,0.79326,0.60987,0.7151,0.38467,1.55031,1.17864,1.71892,1.82983e-05,1.82983e-05,1.82983e-05
