epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.705,1.88861,3.48773,1.6879,0.8357,0.36364,0.50027,0.21826,1.91119,3.33307,1.57638,0.00065641,0.00065641,0.00065641
2,44.9074,1.94376,2.83293,1.70494,0.48248,0.34848,0.37184,0.12873,2.21571,3.18177,2.46865,0.00129102,0.00129102,0.00129102
3,59.0411,2.00982,2.64176,1.80645,0.48695,0.42424,0.29771,0.07356,2.69963,3.16425,2.40002,0.00180164,0.00180164,0.00180164
4,72.7631,1.98373,2.35543,1.79348,0.32387,0.57576,0.33888,0.11577,2.12395,2.39088,1.9231,0.00159191,0.00159191,0.00159191
5,86.8108,1.93688,2.0725,1.76157,0.88166,0.56449,0.69476,0.29569,1.93498,1.77063,1.69651,0.00131593,0.00131593,0.00131593
6,101.862,1.84192,1.85979,1.67576,0.78255,0.68182,0.74229,0.32005,1.80954,1.76374,1.55768,0.00101,0.00101,0.00101
7,116.622,1.76119,1.71129,1.6172,0.81741,0.74616,0.81126,0.41053,1.8947,1.38,1.67006,0.000704073,0.000704073,0.000704073
8,131.61,1.69351,1.59997,1.56116,0.84427,0.75758,0.82455,0.39604,1.91062,1.41638,1.66383,0.000428093,0.000428093,0.000428093
9,145.627,1.68049,1.52574,1.5352,0.88327,0.68795,0.83333,0.43726,1.76533,1.32136,1.56835,0.000209073,0.000209073,0.000209073
10,160.035,1.60594,1.4825,1.5046,0.90692,0.7382,0.84492,0.43406,1.78383,1.27997,1.59336,6.8454e-05,6.8454e-05,6.8454e-05
