epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.309,1.91026,3.16892,2.14472,0.76947,0.24287,0.28439,0.09618,2.07106,2.29604,2.35851,0.000554745,0.000554745,0.000554745
2,348.132,1.98332,2.35126,2.19532,0.74682,0.27599,0.31761,0.11841,1.97972,2.0905,2.14018,0.00108351,0.00108351,0.00108351
3,515.372,1.97776,2.11598,2.1679,0.42278,0.47551,0.39897,0.1501,1.95378,1.92738,2.14417,0.00150857,0.00150857,0.00150857
4,686.552,1.90865,1.95418,2.08533,0.49236,0.46563,0.44315,0.18197,1.87395,1.90309,2.03622,0.00132685,0.00132685,0.00132685
5,862.922,1.84167,1.80708,2.01998,0.47854,0.51819,0.50088,0.22204,1.81866,1.64034,1.95893,0.00109683,0.00109683,0.00109683
6,1045.25,1.76242,1.67625,1.93957,0.58358,0.59265,0.57307,0.2574,1.75481,1.49778,1.91098,0.000841835,0.000841835,0.000841835
7,1223.62,1.70468,1.54941,1.886,0.6456,0.60032,0.61144,0.29061,1.6927,1.4224,1.83493,0.000586845,0.000586845,0.000586845
8,1417.23,1.64965,1.45916,1.83944,0.65791,0.61994,0.63586,0.31267,1.65965,1.37415,1.81652,0.000356815,0.000356815,0.000356815
9,1607.38,1.59509,1.3894,1.79016,0.67892,0.65369,0.67097,0.32956,1.64784,1.28796,1.79514,0.000174262,0.000174262,0.000174262
10,1774.73,1.57074,1.33354,1.76554,0.71619,0.63947,0.68474,0.34152,1.62844,1.27405,1.78328,5.70564e-05,5.70564e-05,5.70564e-05
